"year","temp","days"
1940,10.3953573758485,366
1941,9.97464612150848,365
1942,11.254933354626,365
1943,11.6401250133776,365
1944,10.5572510015769,366
1945,11.6878921717814,365
1946,11.6498640504602,365
1947,12.3304049139154,365
1948,11.7910066031368,366
1949,12.1264067349369,365
1950,11.4694513190283,365
1951,10.953662109375,365
1952,10.8366493516933,366
1953,11.4076032246629,365
1954,10.1677753605255,365
1955,11.0965430690818,365
1956,9.84427174219019,366
1957,11.5418786035825,365
1958,11.0280251280902,365
1959,12.0032546788046,365
1960,11.251136096058,366
1961,12.2882088021057,365
1962,10.3914602619328,365
1963,10.2013661841824,365
1964,11.3246277605901,366
1965,10.1193399925755,365
1966,10.9736586479292,365
1967,11.5357728722978,365
1968,10.9624034110314,366
1969,10.8377699342493,365
1970,10.6748646775337,365
1971,11.5801152895575,365
1972,11.1724007028048,366
1973,11.1831865284541,365
1974,11.1636304463426,365
1975,11.3186644253666,365
1976,11.5194118312148,366
1977,11.2381822141883,365
1978,10.7970107823202,365
1979,11.1898730970409,365
1980,10.5288078683322,366
1981,11.1229750541792,365
1982,12.0452032219874,365
1983,12.1018541309932,365
1984,11.0574898891762,366
1985,11.1920470355308,365
1986,11.5023561660558,365
1987,11.4458721840219,365
1988,12.1449926657755,366
1989,12.9673819345971,365
1990,12.6644837679929,365
1991,12.0575266380833,365
1992,12.4378919591018,366
1993,12.0300913353489,365
1994,13.3368310379656,365
1995,12.20857464516,365
1996,11.5642236011276,366
1997,13.1016598218108,365
1998,12.3960110180999,365
1999,12.3047551821356,365
2000,13.0679968578568,366
2001,12.4797680580453,365
2002,12.8611945165347,365
2003,13.6760993016909,365
2004,12.1784428497481,366
2005,12.0290439135408,365
2006,13.0387454516267,365
2007,12.7706206857342,365
2008,12.5117925258282,366
2009,13.1513745451627,365
2010,11.6872448646859,365
2011,13.8533257471372,365
2012,12.7696884071892,366
2013,12.1653813610338,365
2014,13.7813928891535,365
2015,14.0338091288528,365
2016,13.0065159865416,366
2017,13.4424862796313,365
2018,14.3175559684022,365
2019,13.8077313148812,365
2020,14.2432735255507,366
2021,12.9284641213613,365
2022,15.3105118424925,365
2023,14.4654573205399,365
2024,14.0254400534708,366
2025,14.5124598672945,365
