"year","p0","p1"
1940,-1.0621,-1.2093
1941,-1.008,-1.1143
1942,-0.1329,-0.323
1943,0.8807,1.0019
1944,-0.2219,-0.1386
1945,0.736,0.657
1946,0.609,0.6689
1947,1.1821,1.1672
1948,0.7102,0.7501
1949,1.4495,1.4576
1950,0.7656,0.7266
1951,0.3008,0.3665
1952,0.1647,0.1164
1953,0.3439,0.5018
1954,-0.7087,-0.6786
1955,-0.2068,-0.3606
1956,-1.1937,-1.2782
1957,0.4489,0.5317
1958,0.1516,0.0953
1959,1.208,1.2334
1960,0.2974,0.3332
1961,1.3934,1.4007
1962,-0.6696,-0.5375
1963,-1.152,-1.1046
1964,0.1723,0.0795
1965,-0.8415,-0.823
1966,0.2874,0.2044
1967,0.4482,0.4533
1968,-0.2378,-0.276
1969,-0.4782,-0.4545
1970,-0.4939,-0.5299
1971,0.324,0.3255
1972,-0.1007,-0.1488
1973,-0.0955,-0.1506
1974,0.4345,0.5664
1975,0.1778,0.1418
1976,0.3132,0.2065
1977,0.3086,0.2875
1978,-0.3191,-0.514
1979,0.0857,-0.0348
1980,-0.623,-0.6508
1981,0.3029,0.1363
1982,0.9487,0.7566
1983,0.9925,0.8985
1984,-0.0784,-0.141
1985,-0.0256,-0.197
1986,0.3559,0.1876
1987,0.0652,-0.1696
1988,1.0834,0.9938
1989,1.5895,1.6092
1990,1.3544,1.3581
1991,0.5971,0.458
1992,1.0802,1.0878
1993,0.7635,0.7356
1994,2.0792,1.9657
1995,0.9988,0.9188
1996,0.117,-0.2195
1997,1.5953,1.3957
1998,1.3833,1.3506
1999,1.1758,1.0082
2000,2.0076,1.8985
2001,1.1974,1.0708
2002,1.5565,1.5516
2003,2.4897,2.6437
2004,0.7942,0.7724
2005,0.8973,0.6941
2006,1.6469,1.4163
2007,1.6934,1.5354
2008,1.3493,1.1797
2009,1.7624,1.3969
2010,0.4653,0.1929
2011,2.6804,2.2617
2012,1.4504,1.1898
2013,0.7884,0.5734
2014,2.3558,2.3513
2015,2.4671,2.3354
2016,1.4274,1.4299
2017,2.0251,1.8893
2018,2.9478,3.281
2019,2.5454,2.324
2020,2.6402,2.5681
2021,1.2685,1.087
2022,3.7135,3.4608
2023,3.3277,3.0489
2024,2.4908,2.4602
2025,2.5523,2.4194
2026,2.5112,2.2683
