"year","p0","p1","p2","p3","p4","p5","p6","p7","p8","p9"
1940,-1.039,-1.0621,-1.2093,-1.2084,-1.1653,-0.6092,-0.8911,-0.8041,-1.1942,-0.9312
1941,-1.0567,-1.008,-1.1143,-1.3256,-1.0355,-1.016,-0.9946,-1.0675,-1.0298,-0.6546
1942,-0.2216,-0.1329,-0.323,-0.5243,0.1612,0.2548,0.2714,0.0191,0.1248,0.1798
1943,0.966,0.8807,1.0019,0.8505,1.1465,0.6465,0.9415,0.8397,1.1071,1.1025
1944,-0.0174,-0.2219,-0.1386,-0.3989,-0.6714,-0.4282,-0.6636,-0.5116,-0.7126,-0.295
1945,0.8152,0.736,0.657,0.4458,0.4967,0.6816,0.4013,0.4459,0.4309,0.851
1946,0.5932,0.609,0.6689,0.594,0.7524,0.6483,0.6063,0.6621,0.859,0.2227
1947,1.3131,1.1821,1.1672,1.0198,1.4692,1.3374,1.4818,1.3027,1.4938,0.5033
1948,0.6556,0.7102,0.7501,0.8155,1.0613,0.7783,1.0654,0.9813,0.9762,0.5346
1949,1.4708,1.4495,1.4576,0.9954,1.1552,1.1334,1.1925,1.1729,1.1061,0.9429
1950,0.6672,0.7656,0.7266,0.6385,0.9511,0.4749,0.8099,0.7268,0.9779,0.8811
1951,0.2097,0.3008,0.3665,0.4617,0.233,-0.0452,0.027,0.1038,0.3496,-0.4183
1952,0.1603,0.1647,0.1164,-0.146,-0.3651,-0.1474,-0.1481,-0.1569,-0.3982,0.0232
1953,0.4438,0.3439,0.5018,0.6479,1.0778,0.4197,0.6631,0.5902,1.1923,0.7188
1954,-0.6101,-0.7087,-0.6786,-0.6687,-0.5934,-0.8371,-0.4874,-0.6194,-0.6268,-0.5917
1955,-0.2031,-0.2068,-0.3606,-0.3755,-0.4468,0.0908,-0.056,-0.151,-0.5042,0.1777
1956,-1.2346,-1.1937,-1.2782,-1.2877,-1.2417,-1.1541,-1.2442,-1.2386,-1.2695,-0.9639
1957,0.4821,0.4489,0.5317,0.6288,0.7372,0.5391,0.593,0.699,0.7178,0.2766
1958,0.1737,0.1516,0.0953,0.1159,0.3167,0.0247,-0.0938,0.1226,0.3322,0.0684
1959,1.5126,1.208,1.2334,0.8719,0.8135,1.0098,0.8449,0.8884,0.7877,0.4993
1960,0.3003,0.2974,0.3332,0.3053,-0.2886,0.261,-0.2253,0.0129,-0.3021,-0.4013
1961,1.4112,1.3934,1.4007,1.5008,1.2681,1.2845,1.1149,1.3968,1.228,1.2897
1962,-0.4963,-0.6696,-0.5375,-0.723,-0.8888,-0.6047,-0.6892,-0.7944,-0.9233,-0.4026
1963,-1.1099,-1.152,-1.1046,-0.8884,-0.5427,-0.7958,-0.5454,-0.7852,-0.4834,-0.8795
1964,0.0179,0.1723,0.0795,0.051,0.4405,0.3268,0.4086,0.3746,0.4689,0.1228
1965,-0.8786,-0.8415,-0.823,-0.7675,-0.7915,-0.8854,-0.7256,-0.8075,-0.8173,-0.4838
1966,0.224,0.2874,0.2044,0.1341,-0.0655,-0.0182,0.0549,0.0146,-0.0453,0.0875
1967,0.4369,0.4482,0.4533,0.4251,0.0698,0.5569,0.3963,0.4065,0.0784,0.6871
1968,-0.3772,-0.2378,-0.276,-0.1639,5e-04,-0.0317,0.1981,0.0437,-0.0472,-0.2825
1969,-0.6042,-0.4782,-0.4545,-0.3151,-0.0605,-0.1607,-0.2311,-0.2686,-0.0681,-0.1874
1970,-0.5257,-0.4939,-0.5299,-0.4453,-0.6236,-0.308,-0.6646,-0.5582,-0.6474,-0.2212
1971,0.3743,0.324,0.3255,0.1301,0.6774,0.5585,0.7903,0.4354,0.6609,0.0496
1972,-0.3096,-0.1007,-0.1488,-0.1324,-0.0135,0.1723,0.0595,-0.0874,0.0407,-0.4079
1973,-0.1774,-0.0955,-0.1506,-0.1776,0.0349,0.1931,0.1974,0.0333,0.0463,0.5195
1974,0.4459,0.4345,0.5664,0.4405,-0.0761,0.1518,0.0751,0.0815,-0.1419,0.3312
1975,0.0525,0.1778,0.1418,0.1599,0.0933,0.3269,-0.0424,0.0415,0.1203,0.2096
1976,0.4035,0.3132,0.2065,0.0857,-0.2569,0.5221,0.0889,0.0465,-0.358,0.3163
1977,0.235,0.3086,0.2875,0.3852,0.319,0.2387,0.3307,0.2256,0.3079,-0.3256
1978,-0.5601,-0.3191,-0.514,-0.4145,-0.1032,-0.1695,0.3891,-0.12,-0.2037,-0.3144
1979,-0.0502,0.0857,-0.0348,-0.0224,-0.3724,0.1762,0.0415,-0.04,-0.3845,-0.3277
1980,-0.6592,-0.623,-0.6508,-0.7707,-0.785,-0.4766,-1.0394,-0.9549,-0.8418,-0.4794
1981,0.0835,0.3029,0.1363,-0.0813,-0.1761,0.1215,0.5208,0.1104,-0.2487,0.1537
1982,0.8285,0.9487,0.7566,0.8287,0.6844,1.0542,0.4918,0.6554,0.8221,0.565
1983,0.9207,0.9925,0.8985,1.0859,0.8902,1.0939,0.9027,0.9059,0.9508,0.7856
1984,-0.209,-0.0784,-0.141,-0.0678,-0.8995,0.079,-0.4663,-0.3331,-0.8635,-0.3541
1985,-0.1776,-0.0256,-0.197,-0.0724,0.1235,0.1971,0.341,0.1656,0.1788,-0.2136
1986,-0.055,0.3559,0.1876,0.3526,0.4455,0.4823,0.3367,0.257,0.6107,-0.1276
1987,-0.3162,0.0652,-0.1696,-0.002,0.1574,0.452,0.1584,0.0893,0.1895,-0.0788
1988,0.8592,1.0834,0.9938,1.1242,1.0067,1.154,0.8909,0.9187,1.0182,0.6993
1989,1.6792,1.5895,1.6092,1.6861,1.1847,1.9722,1.0483,1.4158,1.2798,1.2788
1990,1.4676,1.3544,1.3581,1.55,1.4054,1.6628,1.1737,1.4024,1.4587,1.1198
1991,0.6823,0.5971,0.458,0.441,0.4836,1.0687,0.1084,0.4617,0.6098,0.4721
1992,1.0637,1.0802,1.0878,1.2775,1.0502,1.4414,0.5898,1.0302,1.064,0.6429
1993,0.5908,0.7635,0.7356,0.8552,0.7061,1.0283,0.6237,0.7608,0.7704,0.644
1994,1.8757,2.0792,1.9657,2.2627,2.3275,2.3424,1.9832,2.0293,2.328,1.8001
1995,0.7935,0.9988,0.9188,0.9432,0.5609,1.2017,0.7042,0.7606,0.5904,0.7592
1996,-0.1721,0.117,-0.2195,-0.1459,0.1692,0.5849,-0.0076,0.1039,0.1519,-0.0992
1997,1.3419,1.5953,1.3957,1.4996,1.7355,2.0813,1.484,1.7015,1.781,1.5339
1998,1.1469,1.3833,1.3506,1.3174,1.2872,1.4015,0.5837,1.0471,1.2814,1.274
1999,1.0149,1.1758,1.0082,1.1065,0.8928,1.3222,0.7011,0.8226,0.9272,0.8279
2000,1.8504,2.0076,1.8985,1.9845,1.4442,2.058,1.2707,1.6141,1.4322,1.3995
2001,1.0944,1.1974,1.0708,1.2787,1.3789,1.5009,0.9179,1.142,1.3197,1.1697
2002,1.4419,1.5565,1.5516,1.8227,2.1801,1.8413,0.9659,1.5241,2.1685,1.3036
2003,2.4109,2.4897,2.6437,2.092,2.1849,2.7003,1.695,1.881,2.0656,1.9464
2004,0.8112,0.7942,0.7724,1.0148,1.0226,1.1635,0.639,0.7856,1.0991,1.0923
2005,0.8846,0.8973,0.6941,1.0123,1.2878,1.0364,0.6511,0.5916,1.3615,1.2412
2006,1.3669,1.6469,1.4163,1.6259,2.4301,2.0317,1.8091,1.3822,2.3804,1.6999
2007,1.5784,1.6934,1.5354,2.014,2.6619,1.7885,1.8838,1.6232,2.6916,2.3071
2008,1.0851,1.3493,1.1797,1.7236,2.1673,1.5213,1.2887,1.4307,2.2618,1.4591
2009,1.6911,1.7624,1.3969,1.8929,2.1606,2.1441,1.8903,1.438,2.1896,1.8428
2010,0.1902,0.4653,0.1929,0.5503,0.6751,0.6905,0.4306,0.2949,0.806,0.4812
2011,2.4208,2.6804,2.2617,2.5576,3.3427,2.8412,3.3839,2.5957,3.2367,2.5658
2012,1.2906,1.4504,1.1898,1.5888,2.1164,1.7836,2.2759,1.6788,2.0445,1.9615
2013,0.5767,0.7884,0.5734,1.0504,1.6821,1.1626,0.7962,0.9863,1.9672,1.6437
