"year","p0","p1","p2","p3","p4","p5","p6","p7","p8","p9"
1940,-1.1513,-1.1634,-1.3034,-1.2492,-1.2741,-0.7197,-1.0012,-0.9022,-1.2962,-1.0104
1941,-1.1689,-1.1094,-1.2084,-1.3664,-1.1442,-1.1265,-1.1046,-1.1656,-1.1317,-0.7339
1942,-0.3339,-0.2343,-0.4171,-0.565,0.0524,0.1442,0.1613,-0.079,0.0229,0.1006
1943,0.8537,0.7794,0.9078,0.8097,1.0378,0.536,0.8315,0.7416,1.0051,1.0233
1944,-0.1297,-0.3233,-0.2327,-0.4397,-0.7801,-0.5387,-0.7736,-0.6097,-0.8145,-0.3742
1945,0.7029,0.6346,0.5629,0.4051,0.388,0.571,0.2913,0.3478,0.3289,0.7718
1946,0.481,0.5076,0.5748,0.5532,0.6437,0.5377,0.4963,0.564,0.757,0.1435
1947,1.2009,1.0807,1.0731,0.979,1.3605,1.2268,1.3717,1.2047,1.3918,0.4241
1948,0.5434,0.6088,0.656,0.7748,0.9526,0.6677,0.9554,0.8832,0.8742,0.4554
1949,1.3586,1.3481,1.3635,0.9546,1.0464,1.0229,1.0825,1.0748,1.0042,0.8637
1950,0.5549,0.6643,0.6325,0.5977,0.8424,0.3643,0.6999,0.6287,0.8759,0.8019
1951,0.0974,0.1995,0.2723,0.4209,0.1243,-0.1558,-0.0831,0.0057,0.2476,-0.4976
1952,0.0481,0.0633,0.0223,-0.1868,-0.4738,-0.2579,-0.2581,-0.255,-0.5002,-0.056
1953,0.3315,0.2426,0.4077,0.6071,0.9691,0.3092,0.553,0.4921,1.0903,0.6396
1954,-0.7223,-0.8101,-0.7727,-0.7095,-0.7022,-0.9476,-0.5974,-0.7175,-0.7288,-0.6709
1955,-0.3153,-0.3082,-0.4548,-0.4162,-0.5555,-0.0197,-0.166,-0.2491,-0.6062,0.0985
1956,-1.3468,-1.2951,-1.3723,-1.3285,-1.3504,-1.2647,-1.3543,-1.3367,-1.3715,-1.0431
1957,0.3699,0.3476,0.4376,0.588,0.6285,0.4286,0.483,0.6009,0.6158,0.1974
1958,0.0615,0.0502,0.0012,0.0752,0.2079,-0.0858,-0.2038,0.0245,0.2302,-0.0108
1959,1.4004,1.1066,1.1393,0.8312,0.7048,0.8992,0.7349,0.7904,0.6857,0.4201
1960,0.1881,0.196,0.2391,0.2646,-0.3974,0.1505,-0.3353,-0.0852,-0.404,-0.4806
1961,1.299,1.292,1.3066,1.46,1.1594,1.1739,1.0048,1.2987,1.126,1.2105
1962,-0.6085,-0.771,-0.6317,-0.7638,-0.9975,-0.7152,-0.7992,-0.8925,-1.0253,-0.4818
1963,-1.2222,-1.2534,-1.1987,-0.9292,-0.6514,-0.9063,-0.6554,-0.8833,-0.5853,-0.9588
1964,-0.0944,0.0709,-0.0147,0.0102,0.3318,0.2163,0.2985,0.2765,0.3669,0.0436
1965,-0.9909,-0.9429,-0.9171,-0.8083,-0.9002,-0.9959,-0.8356,-0.9056,-0.9193,-0.563
1966,0.1117,0.186,0.1103,0.0933,-0.1742,-0.1288,-0.0551,-0.0835,-0.1472,0.0083
1967,0.3247,0.3468,0.3592,0.3844,-0.0389,0.4464,0.2863,0.3084,-0.0236,0.6079
1968,-0.4894,-0.3392,-0.3701,-0.2046,-0.1083,-0.1422,0.0881,-0.0544,-0.1492,-0.3617
1969,-0.7164,-0.5795,-0.5486,-0.3558,-0.1692,-0.2712,-0.3411,-0.3667,-0.17,-0.2666
1970,-0.638,-0.5953,-0.624,-0.4861,-0.7323,-0.4186,-0.7746,-0.6563,-0.7493,-0.3005
1971,0.2621,0.2226,0.2314,0.0893,0.5687,0.4479,0.6803,0.3373,0.5589,-0.0296
1972,-0.4218,-0.2021,-0.2429,-0.1731,-0.1222,0.0618,-0.0505,-0.1855,-0.0613,-0.4872
1973,-0.2897,-0.1968,-0.2448,-0.2184,-0.0738,0.0826,0.0873,-0.0648,-0.0557,0.4402
1974,0.3337,0.3331,0.4723,0.3997,-0.1848,0.0412,-0.0349,-0.0166,-0.2439,0.2519
1975,-0.0597,0.0764,0.0476,0.1191,-0.0154,0.2163,-0.1525,-0.0565,0.0183,0.1304
1976,0.2913,0.2118,0.1124,0.045,-0.3656,0.4115,-0.0211,-0.0515,-0.46,0.237
1977,0.1228,0.2072,0.1934,0.3445,0.2103,0.1281,0.2207,0.1276,0.2059,-0.4048
