"year","p0","p1"
1940,10.3495,9.1422
1941,10.4445,9.025
1942,11.2358,9.8264
1943,12.5607,11.2011
1944,11.4202,9.9517
1945,12.2157,10.7965
1946,12.2277,10.9446
1947,12.726,11.3704
1948,12.3088,11.1662
1949,13.0164,11.346
1950,12.2854,10.9891
1951,11.9252,10.8123
1952,11.6752,10.2046
1953,12.0606,10.9986
1954,10.8802,9.682
1955,11.1981,9.9752
1956,10.2806,9.0629
1957,12.0905,10.9794
1958,11.6541,10.4666
1959,12.7921,11.2226
1960,11.892,10.656
1961,12.9594,11.8514
1962,11.0212,9.6276
1963,10.4542,9.4622
1964,11.6382,10.4016
1965,10.7358,9.5831
1966,11.7632,10.4847
1967,12.0121,10.7758
1968,11.2828,10.1868
1969,11.1043,10.0356
1970,11.0289,9.9053
1971,11.8843,10.4807
1972,11.41,10.2183
1973,11.4081,10.173
1974,12.1252,10.7912
1975,11.7005,10.5105
1976,11.7652,10.4364
1977,11.8463,10.7359
1978,11.0448,9.9361
1979,11.524,10.3282
1980,10.9079,9.58
1981,11.6951,10.2694
1982,12.3154,11.1793
1983,12.4573,11.4366
1984,11.4178,10.2829
1985,11.3617,10.2783
1986,11.7463,10.7033
1987,11.3892,10.3486
1988,12.5526,11.4748
1989,13.1679,12.0367
1990,12.9169,11.9006
1991,12.0167,10.7916
1992,12.6465,11.6281
1993,12.2944,11.2059
1994,13.5244,12.6134
1995,12.4776,11.2939
1996,11.3392,10.2047
1997,12.9544,11.8503
1998,12.9094,11.668
1999,12.567,11.4572
2000,13.4573,12.3351
2001,12.6296,11.6293
2002,13.1104,12.1733
2003,14.2025,12.4426
2004,12.3312,11.3654
2005,12.2529,11.363
2006,12.9751,11.9766
2007,13.0942,12.3646
2008,12.7384,12.0742
2009,12.9557,12.2435
2010,11.7517,10.9009
2011,13.8205,12.9082
2012,12.7486,11.9395
2013,12.1322,11.401
2014,13.9101,13.1095
2015,13.8941,12.909
2016,12.9886,12.2686
2017,13.4481,12.2099
2018,14.8398,13.5345
2019,13.8828,12.9263
2020,14.1269,13.0743
2021,12.6458,11.6838
2022,15.0196,13.654
2023,14.6077,13.685
2024,14.019,13.3286
2025,13.9782,13.0721
