"year","p0","p1"
1940,-1.0104,-1.1201
1941,-0.7339,-1.0841
1942,0.1006,-0.0812
1943,1.0233,0.8365
1944,-0.3742,-0.5803
1945,0.7718,0.183
1946,0.1435,0.8227
1947,0.4241,1.5328
1948,0.4554,0.715
1949,0.8637,1.2585
1950,0.8019,1.0245
1951,-0.4976,0.1141
1952,-0.056,-0.3807
1953,0.6396,0.6976
1954,-0.6709,-0.6961
1955,0.0985,-0.3818
1956,-1.0431,-1.4471
1957,0.1974,0.6488
1958,-0.0108,-0.1438
1959,0.4201,0.7892
1960,-0.4806,-0.4638
1961,1.2105,1.0431
1962,-0.4818,-0.8207
1963,-0.9588,-0.6225
1964,0.0436,0.3819
1965,-0.563,-1.1561
1966,0.0083,-0.0624
1967,0.6079,0.1974
1968,-0.3617,-0.1033
1969,-0.2666,-0.3116
1970,-0.3005,-0.7895
1971,-0.0296,0.7367
1972,-0.4872,-0.1646
1973,0.4402,0.0512
1974,0.2519,-0.2405
1975,0.1304,-0.0237
1976,0.237,-0.2729
1977,-0.4048,-0.1516
1978,-0.3936,-0.0562
1979,-0.4069,-0.1623
1980,-0.5586,-0.9162
1981,0.0745,-0.2028
1982,0.4858,0.5674
1983,0.7063,0.9792
1984,-0.4334,-0.9365
1985,-0.2928,0.3925
1986,-0.2068,0.2973
1987,-0.158,0.0407
1988,0.62,0.905
1989,1.1996,1.136
1990,1.0406,1.2195
1991,0.3928,0.1663
1992,0.5637,0.8881
1993,0.5647,0.3169
1994,1.7209,1.5868
1995,0.68,0.3815
1996,-0.1784,-0.0868
1997,1.4547,1.5626
1998,1.1948,0.6836
1999,0.7487,0.6176
2000,1.3203,1.1894
2001,1.0905,0.845
2002,1.2244,1.102
2003,1.8672,1.4904
2004,1.0131,0.606
2005,1.162,0.619
2006,1.6207,1.4686
2007,2.2279,1.6813
2008,1.3799,1.4002
2009,1.7635,1.44
2010,0.402,0.152
2011,2.4865,2.6459
2012,1.8823,1.5525
2013,1.5645,1.3261
2014,2.2985,1.6852
2015,2.9645,2.8235
2016,2.1889,2.0067
2017,2.6292,1.9367
2018,2.8644,2.9071
2019,2.9576,2.2279
2020,2.8142,2.7236
2021,2.1086,1.6281
2022,3.9146,3.4973
2023,3.2694,3.1984
2024,3.3525,2.948
2025,3.272,3.1556
2026,2.3699,1.5713
