"year","climate_source","p0","p1"
1940,"observed_grib",-1.0621,-1.2093
1941,"observed_grib",-1.008,-1.1143
1942,"observed_grib",-0.1329,-0.323
1943,"observed_grib",0.8807,1.0019
1944,"observed_grib",-0.2219,-0.1386
1945,"observed_grib",0.736,0.657
1946,"observed_grib",0.609,0.6689
1947,"observed_grib",1.1821,1.1672
1948,"observed_grib",0.7102,0.7501
1949,"observed_grib",1.4495,1.4576
1950,"observed_grib",0.7656,0.7266
1951,"observed_grib",0.3008,0.3665
1952,"observed_grib",0.1647,0.1164
1953,"observed_grib",0.3439,0.5018
1954,"observed_grib",-0.7087,-0.6786
1955,"observed_grib",-0.2068,-0.3606
1956,"observed_grib",-1.1937,-1.2782
1957,"observed_grib",0.4489,0.5317
1958,"observed_grib",0.1516,0.0953
1959,"observed_grib",1.208,1.2334
1960,"observed_grib",0.2974,0.3332
1961,"observed_grib",1.3934,1.4007
1962,"observed_grib",-0.6696,-0.5375
1963,"observed_grib",-1.152,-1.1046
1964,"observed_grib",0.1723,0.0795
1965,"observed_grib",-0.8415,-0.823
1966,"observed_grib",0.2874,0.2044
1967,"observed_grib",0.4482,0.4533
1968,"observed_grib",-0.2378,-0.276
1969,"observed_grib",-0.4782,-0.4545
1970,"observed_grib",-0.4939,-0.5299
1971,"observed_grib",0.324,0.3255
1972,"observed_grib",-0.1007,-0.1488
1973,"observed_grib",-0.0955,-0.1506
1974,"observed_grib",0.4345,0.5664
1975,"observed_grib",0.1778,0.1418
1976,"observed_grib",0.3132,0.2065
1977,"observed_grib",0.3086,0.2875
1978,"observed_grib",-0.3191,-0.514
1979,"observed_grib",0.0857,-0.0348
1980,"observed_grib",-0.623,-0.6508
1981,"observed_grib",0.3029,0.1363
1982,"observed_grib",0.9487,0.7566
1983,"observed_grib",0.9925,0.8985
1984,"observed_grib",-0.0784,-0.141
1985,"observed_grib",-0.0256,-0.197
1986,"observed_grib",0.3559,0.1876
1987,"observed_grib",0.0652,-0.1696
1988,"observed_grib",1.0834,0.9938
1989,"observed_grib",1.5895,1.6092
1990,"observed_grib",1.3544,1.3581
1991,"observed_grib",0.5971,0.458
1992,"observed_grib",1.0802,1.0878
1993,"observed_grib",0.7635,0.7356
1994,"observed_grib",2.0792,1.9657
1995,"observed_grib",0.9988,0.9188
1996,"observed_grib",0.117,-0.2195
1997,"observed_grib",1.5953,1.3957
1998,"observed_grib",1.3833,1.3506
1999,"observed_grib",1.1758,1.0082
2000,"observed_grib",2.0076,1.8985
2001,"observed_grib",1.1974,1.0708
2002,"observed_grib",1.5565,1.5516
2003,"observed_grib",2.4897,2.6437
2004,"observed_grib",0.7942,0.7724
2005,"observed_grib",0.8973,0.6941
2006,"observed_grib",1.6469,1.4163
2007,"observed_grib",1.6934,1.5354
2008,"observed_grib",1.3493,1.1797
2009,"observed_grib",1.7624,1.3969
2010,"observed_grib",0.4653,0.1929
2011,"observed_grib",2.6804,2.2617
2012,"observed_grib",1.4504,1.1898
2013,"observed_grib",0.7884,0.5734
2014,"observed_grib",2.3558,2.3513
2015,"observed_grib",2.4671,2.3354
2016,"observed_grib",1.4274,1.4299
2017,"observed_grib",2.0251,1.8893
2018,"observed_grib",2.9478,3.281
2019,"observed_grib",2.5454,2.324
2020,"observed_grib",2.6402,2.5681
2021,"observed_grib",1.2685,1.087
2022,"observed_grib",3.7135,3.4608
2023,"observed_grib",3.3277,3.0489
2024,"observed_grib",2.4908,2.4602
2025,"observed_grib",2.5523,2.4194
2026,"observed_grib",2.5112,2.2683
2027,"linear_projection",2.6887,2.5221
2028,"linear_projection",2.7389,2.5704
2029,"linear_projection",2.7891,2.6187
2030,"linear_projection",2.8393,2.667
2031,"linear_projection",2.8895,2.7153
2032,"linear_projection",2.9397,2.7636
2033,"linear_projection",2.9899,2.8119
2034,"linear_projection",3.0401,2.8602
2035,"linear_projection",3.0902,2.9085
2036,"linear_projection",3.1404,2.9568
2037,"linear_projection",3.1906,3.0051
2038,"linear_projection",3.2408,3.0534
2039,"linear_projection",3.291,3.1017
2040,"linear_projection",3.3412,3.15
2041,"linear_projection",3.3914,3.1983
2042,"linear_projection",3.4416,3.2466
2043,"linear_projection",3.4918,3.2949
2044,"linear_projection",3.542,3.3432
2045,"linear_projection",3.5922,3.3915
2046,"linear_projection",3.6424,3.4398
2047,"linear_projection",3.6926,3.4881
2048,"linear_projection",3.7428,3.5364
2049,"linear_projection",3.7929,3.5847
2050,"linear_projection",3.8431,3.633
