"sourcePop","sourceLocation","destinationPop","destinationLocation","distanceKm","migrationRate"
0,"Basel",1,"Bern",68.85,0.003889
0,"Basel",2,"Zurich",74.47,0.003608
0,"Basel",3,"St_Gallen",135.18,0.001606
0,"Basel",4,"Chur",166.62,0.001056
0,"Basel",5,"Geneva",186.47,0.00081
0,"Basel",6,"Sion",148.51,0.001344
0,"Basel",7,"Interlaken",99.3,0.002591
0,"Basel",8,"Davos",189.52,0.000778
0,"Basel",9,"Lugano",201.72,0.000661
1,"Bern",0,"Basel",68.85,0.003889
1,"Bern",2,"Zurich",95.5,0.002726
1,"Bern",3,"St_Gallen",155.12,0.001231
1,"Bern",4,"Chur",158.75,0.001173
1,"Bern",5,"Geneva",129.5,0.001732
1,"Bern",6,"Sion",79.76,0.003362
1,"Bern",7,"Interlaken",42.98,0.005
1,"Bern",8,"Davos",182.23,0.000858
1,"Bern",9,"Lugano",155.82,0.00122
2,"Zurich",0,"Basel",74.47,0.003608
2,"Zurich",1,"Bern",95.5,0.002726
2,"Zurich",3,"St_Gallen",63.07,0.0042
2,"Zurich",4,"Chur",95.07,0.002742
2,"Zurich",5,"Geneva",224.35,0.000489
2,"Zurich",6,"Sion",155.74,0.001221
2,"Zurich",7,"Interlaken",92.42,0.00284
2,"Zurich",8,"Davos",116.92,0.002049
2,"Zurich",9,"Lugano",155.85,0.001219
3,"St_Gallen",0,"Basel",135.18,0.001606
3,"St_Gallen",1,"Bern",155.12,0.001231
3,"St_Gallen",2,"Zurich",63.07,0.0042
3,"St_Gallen",4,"Chur",64.86,0.004101
3,"St_Gallen",5,"Geneva",280.95,0.00023
3,"St_Gallen",6,"Sion",202.66,0.000653
3,"St_Gallen",7,"Interlaken",141.01,0.001486
3,"St_Gallen",8,"Davos",77.37,0.003471
3,"St_Gallen",9,"Lugano",161.28,0.001134
4,"Chur",0,"Basel",166.62,0.001056
4,"Chur",1,"Bern",158.75,0.001173
4,"Chur",2,"Zurich",95.07,0.002742
4,"Chur",3,"St_Gallen",64.86,0.004101
4,"Chur",5,"Geneva",269.01,0.00027
4,"Chur",6,"Sion",179.71,0.000887
4,"Chur",7,"Interlaken",128.41,0.001758
4,"Chur",8,"Davos",23.7,0.005
4,"Chur",9,"Lugano",104.18,0.002428
5,"Geneva",0,"Basel",186.47,0.00081
5,"Geneva",1,"Bern",129.5,0.001732
5,"Geneva",2,"Zurich",224.35,0.000489
5,"Geneva",3,"St_Gallen",280.95,0.00023
5,"Geneva",4,"Chur",269.01,0.00027
5,"Geneva",6,"Sion",93.72,0.002791
5,"Geneva",7,"Interlaken",142.26,0.001461
5,"Geneva",8,"Davos",290.29,0.000203
5,"Geneva",9,"Lugano",217.62,0.000535
6,"Sion",0,"Basel",148.51,0.001344
6,"Sion",1,"Bern",79.76,0.003362
6,"Sion",2,"Zurich",155.74,0.001221
6,"Sion",3,"St_Gallen",202.66,0.000653
6,"Sion",4,"Chur",179.71,0.000887
6,"Sion",5,"Geneva",93.72,0.002791
6,"Sion",7,"Interlaken",63.42,0.004181
6,"Sion",8,"Davos",199.67,0.00068
6,"Sion",9,"Lugano",125.21,0.001834
7,"Interlaken",0,"Basel",99.3,0.002591
7,"Interlaken",1,"Bern",42.98,0.005
7,"Interlaken",2,"Zurich",92.42,0.00284
7,"Interlaken",3,"St_Gallen",141.01,0.001486
7,"Interlaken",4,"Chur",128.41,0.001758
7,"Interlaken",5,"Geneva",142.26,0.001461
7,"Interlaken",6,"Sion",63.42,0.004181
7,"Interlaken",8,"Davos",150.83,0.001303
7,"Interlaken",9,"Lugano",112.84,0.002163
8,"Davos",0,"Basel",189.52,0.000778
8,"Davos",1,"Bern",182.23,0.000858
8,"Davos",2,"Zurich",116.92,0.002049
8,"Davos",3,"St_Gallen",77.37,0.003471
8,"Davos",4,"Chur",23.7,0.005
8,"Davos",5,"Geneva",290.29,0.000203
8,"Davos",6,"Sion",199.67,0.00068
8,"Davos",7,"Interlaken",150.83,0.001303
8,"Davos",9,"Lugano",111.77,0.002194
9,"Lugano",0,"Basel",201.72,0.000661
9,"Lugano",1,"Bern",155.82,0.00122
9,"Lugano",2,"Zurich",155.85,0.001219
9,"Lugano",3,"St_Gallen",161.28,0.001134
9,"Lugano",4,"Chur",104.18,0.002428
9,"Lugano",5,"Geneva",217.62,0.000535
9,"Lugano",6,"Sion",125.21,0.001834
9,"Lugano",7,"Interlaken",112.84,0.002163
9,"Lugano",8,"Davos",111.77,0.002194
