"treatment","total_emigration_rate","source_pop","source_location","destination_pop","destination_location","distance_km","distance_weight","migration_rate"
"weak",0.001,0,"Geneva",1,"Bern",129.504,0.17786694,0.000706667772
"weak",0.001,0,"Geneva",2,"Zurich",224.351,0.05021974,0.000199523704
"weak",0.001,0,"Geneva",3,"St_Gallen",280.952,0.02361143,9.3808524e-05
"weak",0.001,1,"Bern",0,"Geneva",129.504,0.17786694,0.000304481574
"weak",0.001,1,"Bern",2,"Zurich",95.499,0.27989999,0.000479146866
"weak",0.001,1,"Bern",3,"St_Gallen",155.125,0.12639631,0.00021637156
"weak",0.001,2,"Zurich",0,"Geneva",224.351,0.05021974,6.595361e-05
"weak",0.001,2,"Zurich",1,"Bern",95.499,0.27989999,0.000367592797
"weak",0.001,2,"Zurich",3,"St_Gallen",63.068,0.43132062,0.000566453593
"weak",0.001,3,"St_Gallen",0,"Geneva",280.952,0.02361143,4.0616337e-05
"weak",0.001,3,"St_Gallen",1,"Bern",155.125,0.12639631,0.000217426708
"weak",0.001,3,"St_Gallen",2,"Zurich",63.068,0.43132062,0.000741956955
"strong",0.01,0,"Geneva",1,"Bern",129.504,0.17786694,0.007066677715
"strong",0.01,0,"Geneva",2,"Zurich",224.351,0.05021974,0.001995237044
"strong",0.01,0,"Geneva",3,"St_Gallen",280.952,0.02361143,0.000938085241
"strong",0.01,1,"Bern",0,"Geneva",129.504,0.17786694,0.00304481574
"strong",0.01,1,"Bern",2,"Zurich",95.499,0.27989999,0.004791468662
"strong",0.01,1,"Bern",3,"St_Gallen",155.125,0.12639631,0.002163715598
"strong",0.01,2,"Zurich",0,"Geneva",224.351,0.05021974,0.000659536098
"strong",0.01,2,"Zurich",1,"Bern",95.499,0.27989999,0.003675927969
"strong",0.01,2,"Zurich",3,"St_Gallen",63.068,0.43132062,0.005664535933
"strong",0.01,3,"St_Gallen",0,"Geneva",280.952,0.02361143,0.000406163365
"strong",0.01,3,"St_Gallen",1,"Bern",155.125,0.12639631,0.002174267082
"strong",0.01,3,"St_Gallen",2,"Zurich",63.068,0.43132062,0.007419569553
