run_id	rep	seed	target_Ne	num_pops	migration_rate	fitness_width	shift_size	Tburn_shared	Tburn_gradient	Tpost_shift	log_interval	mu	recombination_rate
v2_1_ne50_p3_m0p001_shift5_rep1	1	1101	50	3	0.001	5.0	5.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne50_p3_m0p001_shift5_rep2	2	1102	50	3	0.001	5.0	5.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne50_p3_m0p001_shift10_rep1	1	1111	50	3	0.001	5.0	10.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne50_p3_m0p001_shift10_rep2	2	1112	50	3	0.001	5.0	10.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne50_p3_m0p01_shift5_rep1	1	1201	50	3	0.01	5.0	5.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne50_p3_m0p01_shift5_rep2	2	1202	50	3	0.01	5.0	5.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne50_p3_m0p01_shift10_rep1	1	1211	50	3	0.01	5.0	10.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne50_p3_m0p01_shift10_rep2	2	1212	50	3	0.01	5.0	10.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne50_p6_m0p001_shift5_rep1	1	1301	50	6	0.001	5.0	5.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne50_p6_m0p001_shift5_rep2	2	1302	50	6	0.001	5.0	5.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne50_p6_m0p001_shift10_rep1	1	1311	50	6	0.001	5.0	10.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne50_p6_m0p001_shift10_rep2	2	1312	50	6	0.001	5.0	10.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne50_p6_m0p01_shift5_rep1	1	1401	50	6	0.01	5.0	5.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne50_p6_m0p01_shift5_rep2	2	1402	50	6	0.01	5.0	5.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne50_p6_m0p01_shift10_rep1	1	1411	50	6	0.01	5.0	10.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne50_p6_m0p01_shift10_rep2	2	1412	50	6	0.01	5.0	10.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne100_p3_m0p001_shift5_rep1	1	2101	100	3	0.001	5.0	5.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne100_p3_m0p001_shift5_rep2	2	2102	100	3	0.001	5.0	5.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne100_p3_m0p001_shift10_rep1	1	2111	100	3	0.001	5.0	10.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne100_p3_m0p001_shift10_rep2	2	2112	100	3	0.001	5.0	10.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne100_p3_m0p01_shift5_rep1	1	2201	100	3	0.01	5.0	5.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne100_p3_m0p01_shift5_rep2	2	2202	100	3	0.01	5.0	5.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne100_p3_m0p01_shift10_rep1	1	2211	100	3	0.01	5.0	10.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne100_p3_m0p01_shift10_rep2	2	2212	100	3	0.01	5.0	10.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne100_p6_m0p001_shift5_rep1	1	2301	100	6	0.001	5.0	5.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne100_p6_m0p001_shift5_rep2	2	2302	100	6	0.001	5.0	5.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne100_p6_m0p001_shift10_rep1	1	2311	100	6	0.001	5.0	10.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne100_p6_m0p001_shift10_rep2	2	2312	100	6	0.001	5.0	10.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne100_p6_m0p01_shift5_rep1	1	2401	100	6	0.01	5.0	5.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne100_p6_m0p01_shift5_rep2	2	2402	100	6	0.01	5.0	5.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne100_p6_m0p01_shift10_rep1	1	2411	100	6	0.01	5.0	10.0	5000	10000	5000	10	1e-7	1e-8
v2_1_ne100_p6_m0p01_shift10_rep2	2	2412	100	6	0.01	5.0	10.0	5000	10000	5000	10	1e-7	1e-8
