"treatment_id","migration_treatment","total_migration_rate","migration_file","selection_strength","K","slim_file"
"grib_4pop_ne_ramp_strong_sel050_K500","strong",0.01,"grib_migration_matrix_4pop_strong.csv",0.05,500,"grib_4pop_ne_ramp_strong_sel050_K500.slim"
"grib_4pop_ne_ramp_strong_sel050_K2000","strong",0.01,"grib_migration_matrix_4pop_strong.csv",0.05,2000,"grib_4pop_ne_ramp_strong_sel050_K2000.slim"
"grib_4pop_ne_ramp_strong_sel050_K5000","strong",0.01,"grib_migration_matrix_4pop_strong.csv",0.05,5000,"grib_4pop_ne_ramp_strong_sel050_K5000.slim"
"grib_4pop_ne_ramp_strong_sel075_K500","strong",0.01,"grib_migration_matrix_4pop_strong.csv",0.075,500,"grib_4pop_ne_ramp_strong_sel075_K500.slim"
"grib_4pop_ne_ramp_strong_sel075_K2000","strong",0.01,"grib_migration_matrix_4pop_strong.csv",0.075,2000,"grib_4pop_ne_ramp_strong_sel075_K2000.slim"
"grib_4pop_ne_ramp_strong_sel075_K5000","strong",0.01,"grib_migration_matrix_4pop_strong.csv",0.075,5000,"grib_4pop_ne_ramp_strong_sel075_K5000.slim"
"grib_4pop_ne_ramp_weak_sel050_K500","weak",0.001,"grib_migration_matrix_4pop_weak.csv",0.05,500,"grib_4pop_ne_ramp_weak_sel050_K500.slim"
"grib_4pop_ne_ramp_weak_sel050_K2000","weak",0.001,"grib_migration_matrix_4pop_weak.csv",0.05,2000,"grib_4pop_ne_ramp_weak_sel050_K2000.slim"
"grib_4pop_ne_ramp_weak_sel050_K5000","weak",0.001,"grib_migration_matrix_4pop_weak.csv",0.05,5000,"grib_4pop_ne_ramp_weak_sel050_K5000.slim"
"grib_4pop_ne_ramp_weak_sel075_K500","weak",0.001,"grib_migration_matrix_4pop_weak.csv",0.075,500,"grib_4pop_ne_ramp_weak_sel075_K500.slim"
"grib_4pop_ne_ramp_weak_sel075_K2000","weak",0.001,"grib_migration_matrix_4pop_weak.csv",0.075,2000,"grib_4pop_ne_ramp_weak_sel075_K2000.slim"
"grib_4pop_ne_ramp_weak_sel075_K5000","weak",0.001,"grib_migration_matrix_4pop_weak.csv",0.075,5000,"grib_4pop_ne_ramp_weak_sel075_K5000.slim"
